from,to
0,25
0,20
1,26
3,48
7,81
13,64
13,49
13,68
13,30
19,47
20,0
20,43
21,80
21,41
22,61
23,53
24,91
24,93
24,78
25,32
25,0
26,1
27,32
28,97
28,75
28,61
29,77
30,49
30,13
31,96
31,55
32,25
32,27
33,40
34,96
34,42
35,76
36,72
40,33
40,76
40,63
41,21
42,34
42,55
43,20
45,69
46,82
47,19
47,60
48,3
49,13
49,30
53,54
53,23
54,53
55,42
55,31
60,83
60,47
61,75
61,28
61,22
63,40
64,68
64,13
68,64
68,13
69,45
72,36
74,81
75,28
75,61
76,40
76,35
77,29
78,24
78,91
80,21
81,74
81,7
82,46
83,60
91,24
91,93
91,78
93,24
93,91
96,34
96,31
97,28
