Network type,Number of nodes,Ng,Shortest path,Diameter
OFBQI,200,195,9.729632566745968,23
OFBQI,200,171,6.844100447196422,19
OFBQI,200,181,7.183609576427256,17
OFBQI,200,188,7.937592445101832,23
OFBQI,200,188,7.816987143019683,16
OFBQI,200,185,7.718507638072856,18
OFBQI,200,194,7.856204262592811,20
OFBQI,200,195,8.192651334919375,21
OFBQI,200,185,7.394359576968273,18
OFBQI,200,197,8.92914119962706,23
OFBQI,200,186,7.345713455390875,19
OFBQI,200,198,8.2455006922012,19
OFBQI,200,190,7.439933166248956,17
OFBQI,200,196,8.069492412349556,21
OFBQI,200,162,6.721877156659765,19
OFBQI,200,182,7.5895816890292025,22
OFBQI,200,197,8.796229151559102,25
OFBQI,200,140,7.540184994861254,16
OFBQI,200,193,7.90954231433506,23
OFBQI,200,191,7.952493799944889,19
SBQI,200,200,2.7475879396984926,5
SBQI,200,200,2.7127638190954775,5
SBQI,200,199,2.680879143190701,5
SBQI,200,200,2.6789949748743718,5
SBQI,200,200,2.6802010050251255,5
SBQI,200,200,2.6353768844221106,5
SBQI,200,200,2.7331658291457286,5
SBQI,200,200,2.818894472361809,5
SBQI,200,200,2.7753768844221107,5
SBQI,200,200,2.7207035175879395,6
SBQI,200,200,2.567537688442211,5
SBQI,200,200,2.7313065326633166,5
SBQI,200,199,2.7403177503680016,5
SBQI,200,200,2.761809045226131,5
SBQI,200,200,2.6691959798994973,5
SBQI,200,200,2.692462311557789,5
SBQI,200,200,2.6636683417085427,5
SBQI,200,200,2.7134170854271358,5
SBQI,200,200,2.7612562814070354,5
SBQI,200,200,2.7829145728643216,5
